Year,NS Small Business,Type of Business,Received Small Business Impact Grant,Received Small Business Reopening and Support Grant
2020,Tako Sushi & Ramen,Restaurant with onsite dining,yes,yes
2020,Talay Thai,Restaurant with onsite dining,yes,yes
2020,Talay Thai,Restaurant with onsite dining,yes,yes
2020,Talent Source Entertainment Coordinators,"Live, performing arts for audience",yes,no
2020,TALO Cafebar,Restaurant with onsite dining,yes,yes
2020,Tamarind Optical,Self-regulated health professional,yes,yes
2020,Tamarind Optical,Self-regulated health professional,yes,yes
2020,Tangled Garden Herbs,Drinking establishment,yes,yes
2020,Tanglez Hair Studio,Personal care service,yes,yes
2020,Tania's Hair Nook,Personal care service,yes,yes
2020,Tanner & Co. Brewing,Drinking establishment,yes,yes
2020,Tannery Outlet/Mad Hatter Books & Bar,Drinking establishment,yes,yes
2020,Tantallon Dental Centre,Dental office,no,yes
2020,Tantallon Esso,Independent gas retail,no,yes
2020,Tantallon Laser Clinic,Personal care service,yes,yes
2020,Tanya Crew's Hair,Personal care service,yes,yes
2020,Tapered Edge Hairstyling,Personal care service,yes,yes
2020,Tarek's Cafe,Restaurant with onsite dining,yes,yes
2020,Tart & Soul Café,Restaurant with onsite dining,yes,yes
2020,Tartans and Treasures,Small retail,no,yes
2020,Taste of Nova Scotia,In-person trade shows and exhibitions,no,yes
2020,Tatamagouche Brewing Company,Drinking establishment,yes,no
2020,Tatamagouche Ice Creamery,Restaurant with onsite dining,yes,yes
2020,Tatamagouche Shell,Independent gas retail,no,yes
2020,Tattingstone Inn,Restaurant with onsite dining,yes,yes
2020,Tattoo Artist,Personal care service,yes,yes
2020,Taverne Acadienne Limited,Drinking establishment,yes,yes
2020,Taz Records Bedford,Small retail,no,yes
2020,TC Nails and Spa,Personal care service,yes,yes
2020,Tea n' Talk Cafe,Restaurant with onsite dining,yes,yes
2020,Team Orlando Hair Studio,Personal care service,yes,yes
2020,Teazers Pub & Eatery,Restaurant with onsite dining,yes,no
2020,Terence Bay Community Hall Association,Drinking establishment,no,yes
2020,Teresa's His & Hers Hairstyling,Personal care service,yes,yes
2020,Terra Nova Fine Art,In-person trade shows and exhibitions,yes,yes
2020,Terry's Place,Restaurant with onsite dining,yes,yes
2020,Textur Salon & Esthetics,Personal care service,yes,yes
2020,TG Barbershop,Personal care service,yes,yes
2020,Thai Ivory Cuisine,Restaurant with onsite dining,yes,yes
2020,Thai Ivory Indian Express,Restaurant with onsite dining,no,yes
2020,The 7 Virtues Communication Group,"Live, performing arts for audience",yes,yes
2020,The Acu Girls,Unregulated health professional,yes,yes
2020,The Acupuncture Wellness Loft,Personal care service,yes,yes
2020,The Aeolian Singers,"Live, performing arts for audience",yes,yes
2020,The Anvil Beverage Room,Drinking establishment,no,yes
2020,The Appleseed Modern Diner,Restaurant with onsite dining,yes,yes
2020,The Ark,Small retail,no,yes
2020,The Art Expo,Small retail,no,yes
2020,The Astor Theatre Society,"Live, performing arts for audience",yes,yes
2020,The Atlantic Jewish Council,Charity,yes,yes
2020,The Auto Shower,Independent gas retail,no,yes
2020,The Barking Bean Cafe,Restaurant with onsite dining,yes,yes
2020,The Barn Coffee and Social House,Restaurant with onsite dining,yes,yes
2020,The Barrington Steakhouse and Oyster Bar,Restaurant with onsite dining,yes,no
2020,The Beandock,Restaurant with onsite dining,yes,yes
2020,The Best of Cape Breton Gift Shop,Small retail,no,yes
2020,The Bicycle Lunchbox,Restaurant with onsite dining,yes,yes
2020,The Bicycle Thief Restaurant,Restaurant with onsite dining,yes,yes
2020,The Big Mustache Hair Studio,Personal care service,yes,yes
2020,The Big Scoop,Restaurant with onsite dining,yes,yes
2020,The Bistro,Restaurant with onsite dining,no,yes
2020,The Bite House,Restaurant with onsite dining,no,yes
2020,The Bitter End,Drinking establishment,yes,yes
2020,The Blomidon Inn,Restaurant with onsite dining,yes,yes
2020,The Bloom Box,Small retail,no,yes
2020,The Blunt Bartender,Restaurant with onsite dining,yes,yes
2020,The Board Room Game Cafe,Restaurant with onsite dining,yes,yes
2020,The Boutique by Eau Spa,Personal care service,yes,yes
2020,The Bread Lounge Bakery,Restaurant with onsite dining,yes,yes
2020,The Breath Factory,Unregulated health professional,yes,yes
2020,The Brooklyn Warehouse Cafe & Grill,Restaurant with onsite dining,yes,yes
2020,The Bus Stop Theatre Co-op,"Live, performing arts for audience",yes,yes
2020,The Butcher's Block,Restaurant with onsite dining,yes,yes
2020,The Canadian Optical Warehouse,Self-regulated health professional,yes,no
2020,The Canteen,Restaurant with onsite dining,yes,yes
2020,The Cape Breton Ski Club,Not for profit,yes,no
2020,The Captain's Boil,Restaurant with onsite dining,no,yes
2020,The Carriage House,Drinking establishment,yes,yes
2020,The Cellar Bar,Drinking establishment,yes,yes
2020,The Chameleon Cafe and Supperclub,Restaurant with onsite dining,no,yes
2020,The Chester Golf Club,Restaurant with onsite dining,no,yes
2020,The Chicken Shack,Restaurant with onsite dining,yes,no
2020,The China Boat Restaurant,Restaurant with onsite dining,yes,yes
2020,The Chiropractic Loft,Self-regulated health professional,yes,yes
2020,The Church Brewing Co.,Restaurant with onsite dining,yes,yes
2020,The Clever Barkeep,Drinking establishment,yes,yes
2020,The Club Champlain Lounge,Drinking establishment,no,yes
2020,The Club Inclusion,Charity,yes,yes
2020,The Clucking Hen Café,Small retail,no,yes
2020,The Coast 89.7 CKOA-FM,Not for profit,yes,yes
2020,The Coffee Bean Kitchen,Restaurant with onsite dining,yes,yes
2020,The Colour Loft Salon,Personal care service,yes,yes
2020,The Compass Rose Health and Wellness Centre,Self-regulated health professional,yes,yes
2020,The Compassionate Closet,Small retail,no,yes
2020,The Cottage Café,Restaurant with onsite dining,yes,yes
2020,The Cougar Dome,Fitness establishment,no,yes
2020,The Country Kitchen,Restaurant with onsite dining,yes,no
2020,The Courtyard: Artist & Artisans,Small retail,no,yes
2020,The Cup of Soul Cafe,Restaurant with onsite dining,yes,no
2020,The Daily Grind Coffee Shop,Restaurant with onsite dining,yes,yes
2020,The Dancing Goat Cafe & Bakery,Restaurant with onsite dining,yes,yes
2020,"The Dancing Moose Cafe, Cottage and Camping Cabins",Restaurant with onsite dining,yes,yes
2020,The Dinner Plate Family Restaurant,Restaurant with onsite dining,yes,yes
2020,The Disc Clinic,Self-regulated health professional,yes,yes
2020,The Disc Clinic,Self-regulated health professional,yes,yes
2020,The Disc Clinic South Shore,Self-regulated health professional,yes,yes
2020,The Discovery Centre,Charity,yes,yes
2020,"The Dock Food, Spirits & Ales",Restaurant with onsite dining,yes,yes
2020,The Doryman Pub & Grill,Drinking establishment,yes,yes
2020,The Dream Candy Organization,Not for profit,yes,yes
2020,The End of the Line Pub & Grill,Restaurant with onsite dining,yes,yes
2020,The Fantasy Beauty Studio,Personal care service,yes,yes
2020,The Farmer's Daughter Country Market,Restaurant with onsite dining,yes,yes
2020,The Finish Line Hair Design,Personal care service,yes,yes
2020,The Fit & Frugal Dietitian,Fitness establishment,yes,yes
2020,The Fitnessroom Halifax,Fitness establishment,yes,yes
2020,The Floatation Centre Halifax,Unregulated health professional,yes,yes
2020,The Flying Apron Inn & Cookery,Restaurant with onsite dining,yes,yes
2020,The Foggy Goggle Bar and Grill,Restaurant with onsite dining,yes,yes
2020,The Forrester Centre & The Krypt Lounge,Drinking establishment,no,yes
2020,The Fourth Lock Bistro,Restaurant with onsite dining,yes,yes
2020,The Frolick & Folk Pub & Grill,Restaurant with onsite dining,yes,yes
2020,The Front Closet,Small retail,no,yes
2020,The Front Room Hair,Personal care service,yes,yes
2020,"The Fur Barber, Grooming and Doggy Daycare",Personal care service,yes,yes
2020,The Furnace Nightclub,Drinking establishment,yes,yes
2020,The Gaslight Café,Restaurant with onsite dining,yes,yes
2020,The Gerald Hardy Memorial Society,Charity,yes,yes
2020,The Glamorama,Personal care service,yes,yes
2020,The Gold Barber Shop,Personal care service,yes,no
2020,The Grand Banker Seafood & Grill,Restaurant with onsite dining,yes,yes
2020,The Great Escape,"Live, performing arts for audience",yes,yes
2020,The Hair Shed,Personal care service,yes,yes
2020,The Hair Spa,Personal care service,yes,yes
2020,The Halifax Rowing Club,Not for profit,yes,yes
2020,The Halliburton Hotel,Restaurant with onsite dining,yes,yes
2020,The Head Shoppe,Personal care service,yes,yes
2020,The Head Shoppe,Personal care service,yes,yes
2020,The Head Shoppe,Personal care service,yes,yes
2020,The Head Shoppe,Personal care service,yes,yes
2020,The Healing Centre,Personal care service,yes,yes
2020,The Healing Path,Unregulated health professional,yes,yes
2020,The Healing Station,Unregulated health professional,yes,yes
2020,The Healing Station,Unregulated health professional,yes,yes
2020,The Hearing Specialists,Self-regulated health professional,yes,yes
2020,The Henley House Pub & Restaurant,Restaurant with onsite dining,no,yes
2020,The Henry House,Restaurant with onsite dining,yes,yes
2020,The Highlander Pub,Drinking establishment,no,yes
2020,The Highwayman Restaurant & Bar,Restaurant with onsite dining,yes,yes
2020,The Hills Bowtique,Personal care service,yes,yes
2020,The Hub Too,Drinking establishment,yes,yes
2020,The Improv Cafe,Restaurant with onsite dining,no,yes
2020,The Iona Heights Inn,Drinking establishment,yes,yes
2020,The Island Nest Restaurant,Restaurant with onsite dining,yes,yes
2020,The Italian Market,Restaurant with onsite dining,yes,yes
2020,The Joy of Shiatsu,Unregulated health professional,yes,no
2020,The Joys of Health & Wellness,Unregulated health professional,no,yes
2020,The Keg Steakhouse,Restaurant with onsite dining,yes,yes
2020,The Keyosk,Small retail,no,yes
2020,The Kids Fun Factory,Fitness establishment,yes,yes
2020,The Kiwi Café,Restaurant with onsite dining,yes,yes
2020,The Knot Pub,Restaurant with onsite dining,yes,yes
2020,The Lakes Campground & Restaurant,Restaurant with onsite dining,yes,yes
2020,The Landing Spa & Studio,Unregulated health professional,yes,yes
2020,The Library Pub and Merchant Wine Tavern,Restaurant with onsite dining,yes,yes
2020,The Lifehouse Family Chiropractic,Self-regulated health professional,yes,yes
2020,The Little Gym of Halifax,Fitness establishment,no,yes
2020,The Little Harbour Community Centre,Charity,yes,no
2020,The Lobster Trap Company,In-person trade shows and exhibitions,yes,yes
2020,The Local NPC Games & Comics,Small retail,no,yes
2020,The Lower Deck,Drinking establishment,yes,yes
2020,The Lower Deck,Drinking establishment,yes,yes
2020,The MacFarlane Lantern Restaurant,Restaurant with onsite dining,yes,yes
2020,The Market Groove Merchants,Small retail,no,yes
2020,The Marquee Ballroom,Drinking establishment,yes,yes
2020,The Massage Factor,Unregulated health professional,yes,yes
2020,The Mercantile Social,Restaurant with onsite dining,yes,yes
2020,The Middle Spoon Desserterie & Bar,Restaurant with onsite dining,yes,yes
2020,The Nail Boutique,Personal care service,yes,yes
2020,The Naked Crepe Bistro,Restaurant with onsite dining,yes,yes
2020,The Noodle Guy,Restaurant with onsite dining,yes,yes
2020,The Nook & Cranny,Restaurant with onsite dining,yes,yes
2020,The Nook Espresso Bar and Lounge,Restaurant with onsite dining,yes,yes
2020,The Old Apothecary Bakery & Café,Restaurant with onsite dining,yes,yes
2020,The Old Fish Factory Restaurant,Restaurant with onsite dining,no,yes
2020,The Old Triangle Irish Alehouse,Restaurant with onsite dining,yes,yes
2020,The Old Triangle Irish Alehouse,Restaurant with onsite dining,yes,yes
2020,The Old Warehouse,Drinking establishment,yes,yes
2020,The Olive Tree Pizzeria Bistro,Restaurant with onsite dining,yes,yes
2020,The Opulent Alpaca,Small retail,no,yes
2020,The Orient Chinese Cuisine,Restaurant with onsite dining,yes,yes
2020,The Ostrich Club,Restaurant with onsite dining,yes,yes
2020,The Parks of West Bedford Dentistry,Dental office,no,yes
2020,The Parlour Boutique Salon,Personal care service,yes,yes
2020,The Paw Spa,Personal care service,yes,no
2020,The Pilates Barre Halifax,Fitness establishment,yes,yes
2020,The Pizza Cut,Restaurant with onsite dining,yes,yes
2020,The Playful Pumpkin Play Cafe,Restaurant with onsite dining,yes,yes
2020,The Plum Tree Gift Shoppe,Small retail,no,yes
2020,The Ponderossa,Restaurant with onsite dining,yes,no
2020,"The Port Grocer, Café & Art Space",Restaurant with onsite dining,yes,yes
2020,The Port Pub and Bistro,Restaurant with onsite dining,yes,yes
2020,The Powder Room,Personal care service,no,yes
2020,The Practice Energy Movement Centre,Fitness establishment,yes,yes
2020,The Press Gang,Restaurant with onsite dining,yes,no
2020,The Press Gang,Restaurant with onsite dining,no,yes
2020,The Puppy Palace,Personal care service,yes,yes
2020,The Purcell's Cove Social Club,Not for profit,yes,no
2020,The Quarterdeck Restaurant,Restaurant with onsite dining,yes,yes
2020,The Rack & Cue/The Rack Bar and Billiards,Drinking establishment,yes,yes
2020,The Ready Room Salon,Personal care service,yes,yes
2020,The Real Scoop Ice Cream & Espresso Shop,Restaurant with onsite dining,yes,yes
2020,The Red Ruby Hair Salon,Personal care service,yes,yes
2020,The Red Stag Tavern,Drinking establishment,yes,yes
2020,The ReFound Shop,Small retail,no,yes
2020,The Ridge Hair Salon,Personal care service,yes,no
2020,The Rolled Oat Cafe,Restaurant with onsite dining,yes,yes
2020,The Rope Loft,Restaurant with onsite dining,yes,yes
2020,The Rusty Zipper Upscale Consignment,Small retail,no,yes
2020,The Sailor's Galley,Restaurant with onsite dining,yes,yes
2020,The Salt Room Salt Therapy,Self-regulated health professional,yes,yes
2020,The Savoie Kitchen,Restaurant with onsite dining,yes,yes
2020,The Savvy Sailor Cafe,Restaurant with onsite dining,yes,yes
2020,The Scissor Haven Salon and Barbershop,Personal care service,yes,yes
2020,The Sea Dog Restaurant,Restaurant with onsite dining,yes,yes
2020,The Seahorse Tavern,Drinking establishment,yes,yes
2020,The Ship's Galley Pub & Eatery,Restaurant with onsite dining,yes,yes
2020,The Shore Club,Restaurant with onsite dining,no,yes
2020,The Silly Soap Shop,In-person trade shows and exhibitions,yes,yes
2020,The Singing Acupuncturist,Unregulated health professional,yes,yes
2020,The Soap Company of Nova Scotia,Small retail,no,yes
2020,The Sonic Temple,"Live, performing arts for audience",yes,yes
2020,The South Shore Fish Shack,Restaurant with onsite dining,no,yes
2020,The Sou'Wester Gift & Restaurant Co.,Restaurant with onsite dining,yes,yes
2020,The Sparkling Starfish Jewellery & Gifts,Small retail,no,yes
2020,The Spoonery Woodenware and Needful Things,In-person trade shows and exhibitions,yes,yes
2020,The St. Cecilia Concert Society,Charity,yes,yes
2020,The Stone Soup Café & Catering,Restaurant with onsite dining,yes,yes
2020,The Strait Area Community Curling Club,Not for profit,yes,no
2020,The Stretch Diner,Restaurant with onsite dining,no,yes
2020,The Style Merchant,Personal care service,yes,yes
2020,The Submarine,Restaurant with onsite dining,yes,yes
2020,The Sugar Dish Day Spa,Personal care service,no,yes
2020,The Suitor Clothing Company,Small retail,no,yes
2020,The Summit Skin Care & Hair Removal,Personal care service,yes,yes
2020,The Sun Hut Inc.,Personal care service,yes,yes
2020,The Sunflower Spa,Unregulated health professional,yes,yes
2020,The Tea Brewery,Small retail,no,yes
2020,The Ten Spot,Personal care service,yes,yes
2020,The Ten Spot,Personal care service,yes,yes
2020,The Thistle Bar and Grill,Restaurant with onsite dining,yes,yes
2020,The Townhouse Brewpub & Eatery,Restaurant with onsite dining,yes,yes
2020,The Trainyard General Store,Small retail,no,yes
2020,The Truro Club,Drinking establishment,yes,yes
2020,The Truth & Life Bookstore,Small retail,no,yes
2020,The Tuna Blue Inn & Restaurant,Restaurant with onsite dining,no,yes
2020,The Turtleback Tap & Grill,Restaurant with onsite dining,yes,yes
2020,The Tweed Suit Barbershop,Personal care service,yes,yes
2020,The Union Street Café,Restaurant with onsite dining,yes,no
2020,The UPS Store,Small retail,no,yes
2020,The Vanity Room Salon and Boutique,Personal care service,yes,yes
2020,The Village Coffeehouse,Restaurant with onsite dining,yes,yes
2020,The Village Grill of Inverness,Restaurant with onsite dining,no,yes
2020,The Ville Caffeine Bar,Restaurant with onsite dining,yes,yes
2020,The Waffle Bus Stop,Restaurant with onsite dining,yes,yes
2020,The Warehouse Multi-Sport Centre,Fitness establishment,yes,yes
2020,The Wheelhouse Seafood and Pasta,Restaurant with onsite dining,no,yes
2020,The Wooden Monkey Restaurant,Restaurant with onsite dining,yes,yes
2020,The Wooden Monkey Restaurant,Restaurant with onsite dining,yes,yes
2020,The Yellow Sink Hair Salon,Personal care service,yes,yes
2020,The Yoga Barn,Fitness establishment,yes,yes
2020,The Zen Touch,Unregulated health professional,yes,no
2020,Theatre Arts Guild,Charity,yes,yes
2020,Theatre Baddeck Society,"Live, performing arts for audience",yes,yes
2020,Therapeutic Approach Yoga Studio,Fitness establishment,yes,yes
2020,Therapeutic Effect Massage,Unregulated health professional,yes,yes
2020,Therapeutic Kneads Massage Therapy,Unregulated health professional,yes,yes
2020,Therapotions Natural Beauty and Apothecary,In-person trade shows and exhibitions,yes,yes
2020,Think Tank Escape Rooms,In-person trade shows and exhibitions,yes,yes
2020,Thomson Station Ultramar,Independent gas retail,no,yes
2020,THR!VE Children's Choir,"Live, performing arts for audience",yes,yes
2020,Three Doors Down Diner,Restaurant with onsite dining,yes,yes
2020,Three Quarter Moon Therapeutics,Unregulated health professional,yes,yes
2020,Three Treasures Therapeutic,Self-regulated health professional,yes,yes
2020,Thrive Hair Studio,Personal care service,yes,yes
2020,Thrown Together Pottery & Art,Small retail,no,yes
2020,Thumpers Salon,Personal care service,yes,yes
2020,Thunder FC,Not for profit,yes,yes
2020,Tiaraii Hair Salon,Personal care service,yes,yes
2020,Tidal Waves DJ Services,"Live, performing arts for audience",no,yes
2020,Tilted Tap Bar and Grill,Restaurant with onsite dining,no,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,no
2020,Tim Hortons,Restaurant with onsite dining,yes,no
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,no,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,no
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,no,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,no,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Tim Hortons,Restaurant with onsite dining,yes,yes
2020,Timber Lounge,Drinking establishment,yes,yes
2020,Timberlea Beverage Room,Restaurant with onsite dining,yes,yes
2020,Timberlea Dental Centre,Dental office,no,yes
2020,Timeless & Twist,Small retail,no,yes
2020,Tipperary Bakery & Cafe,Restaurant with onsite dining,yes,yes
2020,Tipping Point Distillers,Drinking establishment,yes,no
2020,Tire Shack Amherst,Small retail,no,yes
2020,Tiszta Viz Organic Skin Care & Spa,Personal care service,yes,yes
2020,Titanflooring,In-person trade shows and exhibitions,yes,no
2020,Titans Fitness Academy Club,Fitness establishment,yes,yes
2020,Titans Gymnastics and Trampoline Club,Not for profit,yes,yes
2020,TLC Dentistry,Dental office,no,yes
2020,TLC Hair Design,Personal care service,no,yes
2020,TLC Massage Therapy,Unregulated health professional,yes,yes
2020,TM Hair Co.,Personal care service,yes,yes
2020,Todd Hill Farm,Not for profit,yes,yes
2020,Together Hair and Esthetics,Personal care service,yes,yes
2020,TOGO Fresh Food,Restaurant with onsite dining,yes,no
2020,Tokyoroll,Restaurant with onsite dining,yes,yes
2020,Tommy Guns Speakeasy Lounge,Drinking establishment,yes,yes
2020,Tom's Family Restaurant,Restaurant with onsite dining,yes,yes
2020,Tom's Pizza,Restaurant with onsite dining,yes,yes
2020,Tony's Barbering Inc,Personal care service,yes,yes
2020,Tony's Nailz,Personal care service,yes,yes
2020,Toomey Counselling and Consulting,Self-regulated health professional,yes,yes
2020,Toothy Moose,Drinking establishment,yes,yes
2020,Top Tea Café,Restaurant with onsite dining,yes,yes
2020,Topcuts,Personal care service,yes,yes
2020,Torpedo Sauna/Menz Bar/Mollyz Diner,Drinking establishment,yes,yes
2020,Total Effect Massage Therapy,Unregulated health professional,yes,yes
2020,Total Kneads Health & Wellness,Self-regulated health professional,yes,yes
2020,Total Touch Skin Care Clinic,Personal care service,no,yes
2020,Totally Yours Salon,Personal care service,yes,yes
2020,Touch of Gold Lab,Self-regulated health professional,yes,yes
2020,Touch of Radiance,Personal care service,yes,yes
2020,Tower Road Fire Department,Drinking establishment,yes,yes
2020,Toy Maker of Lunenburg,In-person trade shows and exhibitions,yes,no
2020,Tracie's Spa Life,Personal care service,yes,yes
2020,Traditional Chinese Medicine Acupuncture,Unregulated health professional,yes,yes
2020,Trailsman Lodge & Restaurant,Small retail,no,yes
2020,Train Station Bike and Bean,Restaurant with onsite dining,yes,yes
2020,Tran Nails,Personal care service,no,yes
2020,Tranquil Moments Massage & Body Treatments,Self-regulated health professional,yes,yes
2020,Tranquility Spa,Personal care service,yes,yes
2020,TranscenDental,Dental office,no,yes
2020,TranscenDental,Dental office,no,yes
2020,Transcendental at Musquodoboit,Dental office,no,yes
2020,Treasured Tress Mobile Wig Service,Personal care service,no,yes
2020,Treats Café,Restaurant with onsite dining,yes,no
2020,Tree Top Massage Therapy,Unregulated health professional,yes,yes
2020,Trellis Cafe,Restaurant with onsite dining,yes,no
2020,Trendy Eyewear,Self-regulated health professional,yes,yes
2020,Tress In Home Hair Services,Personal care service,yes,yes
2020,TREW Massage Therapy,Unregulated health professional,yes,yes
2020,Tri County Ford Sales Ltd,Independent gas retail,no,yes
2020,Tri Touch Healing Arts,Unregulated health professional,yes,yes
2020,Triangle Events,"Live, performing arts for audience",yes,yes
2020,Tri-County Blood Collection Services,Self-regulated health professional,no,yes
2020,Tri-County Blood Collection Services,Unregulated health professional,yes,no
2020,Tri-County Veterinary Services,Veterinarian,yes,yes
2020,Trident Booksellers & Café,Restaurant with onsite dining,yes,yes
2020,Trider's Craft Beer,Drinking establishment,yes,yes
2020,Tri-Harbour Dental,Dental office,no,yes
2020,TriMac Dental Centre,Dental office,no,yes
2020,Trina's Nails & Waxing Services,Personal care service,yes,yes
2020,Trinity Fine Jewellers,Small retail,no,yes
2020,Tripp's Gallery,Small retail,no,yes
2020,Troy Restaurant,Restaurant with onsite dining,yes,yes
2020,Tru Salon,Personal care service,yes,yes
2020,Truckside Food Court,Restaurant with onsite dining,yes,yes
2020,True Heart Massage Therapy,Self-regulated health professional,no,yes
2020,True Indulgence,Personal care service,yes,yes
2020,True Nature Yoga,Fitness establishment,yes,yes
2020,True North DJ Services,"Live, performing arts for audience",yes,yes
2020,Trui Kabel Electrolysis,Personal care service,yes,yes
2020,Trullo Ristorante Italia,Restaurant with onsite dining,yes,no
2020,Truly Tasty,Restaurant with onsite dining,yes,yes
2020,Truro & Colchester Chamber of Commerce,Not for profit,yes,yes
2020,Truro Allstar Cheer & Tumble,Fitness establishment,yes,no
2020,Truro Chiropractic Clinic Inc.,Self-regulated health professional,yes,yes
2020,Truro Curling Club,Fitness establishment,no,yes
2020,Truro Denture Clinic,Self-regulated health professional,no,yes
2020,Truro Horsemen's Club,Restaurant with onsite dining,no,yes
2020,Truro Massage Therapy Clinic,Unregulated health professional,yes,yes
2020,Truro Music Festival Society,Charity,yes,yes
2020,Truro Osteopathy,Unregulated health professional,yes,yes
2020,Truro Periodontics,Dental office,no,yes
2020,Truro Raceway,Restaurant with onsite dining,yes,yes
2020,TS Performance Horses,Fitness establishment,yes,yes
2020,Turkish Delight Restaurant,Restaurant with onsite dining,yes,no
2020,Turkuaz Restaurant,Restaurant with onsite dining,yes,yes
2020,Turn The Page Massage Therapy,Unregulated health professional,yes,yes
2020,Turning Point Curling,Fitness establishment,yes,yes
2020,Turning Tides Massage Therapy,Unregulated health professional,yes,yes
2020,Tusket Brewing Co.,Drinking establishment,yes,yes
2020,Tusket Ultra Mart,Independent gas retail,no,yes
2020,Tusu Karaoke,Drinking establishment,yes,yes
2020,Twin Dragon Martial Arts Club,Fitness establishment,yes,yes
2020,Twin Shears Hairstudio & Esthetics,Unregulated health professional,yes,yes
2020,Twin Village Social Club,Not for profit,yes,yes
2020,Twisted Metal,Small retail,no,yes
2020,Twisted Willow Flowers & Gifts,Small retail,no,yes
2020,Two Doors Down,Restaurant with onsite dining,yes,yes
2020,Two Front Teeth Dental Sales,Unregulated health professional,no,yes
2020,Two If By Sea Café,Restaurant with onsite dining,yes,yes
2020,Two Islands Brewing,Drinking establishment,no,yes
2020,Two Rivers Wildlife Park,Not for profit,yes,yes
2020,Two World's Medicine,Unregulated health professional,yes,yes
2020,Tyson's Fine Minerals,In-person trade shows and exhibitions,yes,yes
2020,U Spa,Personal care service,yes,yes
2020,UC Baby,Unregulated health professional,yes,yes
2020,UC Baby Halifax Center,Unregulated health professional,no,yes
2020,Ucbaby,Self-regulated health professional,yes,yes
2020,Ugly Mug Cafe & Emporium,Restaurant with onsite dining,yes,yes
2020,Ummah Masjid and Community Centre,Charity,yes,no
2020,Unapologetic Ink,Personal care service,yes,yes
2020,Unchained Kitchen,Restaurant with onsite dining,yes,yes
2020,Uncle Leo's Brewery,Drinking establishment,yes,yes
2020,Uncommon Grounds - A Coffee House,Restaurant with onsite dining,yes,yes
2020,Uniacke & District Br. # 165,Not for profit,yes,yes
2020,United Dental Laboratory,Self-regulated health professional,no,yes
2020,United DFC Soccer Club,Not for profit,yes,yes
2020,University Physiotherapy,Self-regulated health professional,yes,yes
2020,Unlimited Gifts and Things,Small retail,no,yes
2020,Unregulated health professional,Unregulated health professional,yes,yes
2020,Unregulated health professional,Unregulated health professional,yes,yes
2020,Unregulated health professional,Unregulated health professional,yes,yes
2020,Unregulated health professional,Unregulated health professional,yes,yes
2020,Unregulated health professional,Unregulated health professional,yes,yes
2020,Unregulated health professional,Unregulated health professional,yes,yes
2020,Unregulated health professional,Unregulated health professional,yes,yes
2020,Unregulated health professional,Unregulated health professional,yes,yes
2020,Unregulated health professional,Unregulated health professional,yes,yes
2020,Unregulated health professional,Unregulated health professional,yes,yes
2020,Unregulated health professional,Unregulated health professional,yes,no
2020,Unregulated health professional,Unregulated health professional,yes,yes
2020,Unregulated health professional,Unregulated health professional,no,yes
2020,Unregulated health professional,Unregulated health professional,yes,yes
2020,Unregulated health professional,Unregulated health professional,yes,yes
2020,Unregulated health professional,Unregulated health professional,yes,yes
2020,Unregulated health professional,Unregulated health professional,yes,yes
2020,Unregulated health professional,Unregulated health professional,yes,yes
2020,Unregulated health professional,Unregulated health professional,yes,yes
2020,Unregulated health professional,Unregulated health professional,yes,yes
2020,Unregulated health professional,Unregulated health professional,yes,no
2020,Unregulated health professional,Unregulated health professional,yes,yes
2020,Unregulated health professional,Unregulated health professional,yes,yes
2020,Unregulated health professional,Unregulated health professional,yes,yes
2020,Unregulated health professional,Unregulated health professional,yes,yes
