ID,Name,TypeofLMI,LMIName,Description,Location,TargetAudience,Access,UpdateFrequency,InformationDepth,ReleaseDate,SegmentSpecific
299,Maritime Provinces Higher Education Commission,primary,Graduate Follow-up Survey,"Survey that has been conducted beginning in 1995. The commission survey every 4th cohort with follow-ups at 2 and 5 years after graduation. The purpose of the study is to look at outcomes and perceptions of post-secondary studies from the perspective of the graduates. The survey looks at employment outcomes, migration, debt , etc. Surveys have had between 3000-4200 respondents.",http://www.mphec.ca/research/graduatefollowupsurveys.aspx,,Open,Every 2-5 yrs,Industry,NA,Any / All
300,Maritime Provinces Higher Education Commission,primary,Maritime University Statistics (PSIS),"An enrolment database that collects data generated using PSIS from all the publicly funded Universities in the Maritimes. The PSIS data is collected and analyzed.  The data collected pertains to student information such as; degrees granted, majors underway and so on.",http://www.mphec.ca/research/maritimeuniversitystatistics.aspx,,Open,Annually,Industry,NA,Any / All
301,Maritime Provinces Higher Education Commission,products,Measures of Student Progress and Outcomes,"This is modular product with each module consisting of a set of measures grouped to inform a single policy theme. Each module or set of measures is released separately along with a document providing context and policy implications. Taken together, the modules inform the broader project theme of student progress and outcomes.",http://www.mphec.ca/research/measuresstudentprogressoutcomes.aspx,,Open,Annually,Varies by publication,NA,Any / All
302,Maritime Provinces Higher Education Commission,products,Trends in Maritime Higher Education,"The Trends in Maritime Higher Education publication, is an occasional series of focused analysis, ranging from four to sixteen pages, prepared by the Maritime Provinces Higher Education Commission staff. Topics include; Student Progression within University of first Entry: Persistence and Graduation, University Participation: A Maritime Perspective, Outcomes of Rural and Urban Maritime University Graduates, and more.",http://www.mphec.ca/research/trendsmaritimehighereducation.aspx,,Open,Periodical,Varies by publication,NA,Any / All
303,Maritime Provinces Higher Education Commission,research,Intentions of Maritime University Students Following Graduation: A Survey of Class of 2007,"A survey providing information on attitudes toward, and plans for, pursuing further education, as well as preparedness for further studies and the workforce. The study also provides important information on student debt at graduation.",http://www.mphec.ca/research/IntentionsUniversityGraduates.aspx,,Open,Periodical,Provincial,2008,Any / All
305,Maritime Provinces Higher Education Commission,research,Presentations and Publications on Higher Education in the Maritimes,Provides insights on higher education in the Maritime provinces,http://www.mphec.ca/presentationsandpublications/presentationsandpublications.aspx,"Educators, Academics, Students, Government, Policymakers",Open,Annually,"Provincial, Regional",NA,Youth
308,Merit Contractors Association of Nova Scotia,products,Merit Contractors Association of Nova Scotia,Specific goals of the Association and its members are to promote safe healthy working conditions and to ensure fair representation to employees and employers in Nova Scotia.,http://www.meritns.com/,,OPEN,,Provincial,,Any / All
309,Midwifery Coalition of Nova Scotia,products,Midwifery Coalition of Nova Scotia,"The Midwifery Coalition is a consumer group. For over 20 years, the Midwifery Coalition of Nova Scotia has been working to have midwifery accepted as a regulated health profession.",http://www.chebucto.ns.ca/health/Midwifery/,,open,,Provincial,,Any / All
310,Mining Industry Human Resources Council,products,Mining Industry Human Resources Council,"MiHR contributes to the strength, competitiveness, and sustainability of the Canadian mining industry by leading the collaboration among communities of interest to address emerging human resources opportunities and challenges.",https://www.mihr.ca/,,OPEN,,Regional,,Any / All
311,Motor Carrier Passenger Council of Canada,products,Motor Carrier Passenger Council of Canada,"Our focus is identifying and addressing human resources issues within the motor carrier passenger industry.  Our efforts are focused on providing new and better services for all passengers, from -students to seniors, from commuters to those with special needs.",http://www.buscouncil.ca/,,OPEN,,Regional,,Any / All
312,Music Nova Scotia,products,Music Nova Scotia,"Music Nova Scotia is a non-profit organization that has worked since 1989 with a mandate to encourage the creation, development, growth, and promotion of Nova Scotia's music industry.",http://www.musicnovascotia.ca/,,Restricted,,Provincial,,Any / All
314,Nova Scotia Association of Medical Radiation Technologists,products,Nova Scotia Association of Medical Radiation Technologies,The Nova Scotia Association of Medical Radiation Technologists (NSAMRT) represents over 500 members in Nova Scotia in various fields of medical radiation technology.,http://nsamrt.ca/,,OPEN,,Provincial,,NA
315,Nova Scotia Association of Optometrists,products,Nova Scotia Association of Optometrists,Our mission is to foster excellence in the delivery of vision and eye health services in Nova Scotia.,http://www.nsoptometrists.ca/,,Restricted,,Provincial,,NA
316,Nova Scotia Association of Realtors,products,Nova Scotia Association of Realtors,The Association's mission is to enhance REALTERS® success by providing services and representation to enable them to best serve the public in real estate transactions.  The Association also acts as the voice for real estate in Nova Scotia.,https://www.nsrealtors.ca/,,OPEN,,Provincial,,NA
317,Nova Scotia Association of Social Workers,products,Nova Scotia College of Social Workers,The Nova Scotia College of Social Workers exists to serve and protect Nova Scotians by effectively regulating the profession of social work.,http://nscsw.org/,,Restricted,,Provincial,,NA
318,Nova Scotia Automobile Dealers Association,products,Nova Scotia Automobile Dealers Association,"To assist and protect its member dealers in those situations where their individual actions are ineffective and where collective, united action is required to bring about desirable results.",http://www.nsada.ca/,,Restricted,,Provincial,,Any / All
319,Nova Scotia Barrister's Society,products,Nova Scotia Barrister's Society,"Acting in the public interest, we provide leadership, value and support to a competent, ethical, inclusive and engaged legal profession.",http://www.nsbs.org/,,OPEN,,Provincial,,NA
321,Nova Scotia Boat Builders Association,primary,Economic Sector Impact,"Poll members on an annual basis. The surveys look at number of employees, gross sales, etc. The data is collected for providing outcomes to funding partners.",https://nsboats.com/,,Restricted,Annually,Business,NA,Any / All
322,Nova Scotia Boat Builders Association,primary,Training Tracking database,"Training is provided to anyone in the boat building and recreational marine sector. It is not limited to NSBA members. Training is provided for employers, management, employees. The purpose of training could be for certification or skills upgrading purposes.",https://nsboats.com/,,Restricted,,Industry,NA,Any / All
323,Nova Scotia Boat Builders Association,products,News,"One page newsletter with current topical information provided. Information on the boat building industry including recent launches, new developments/technologies, training and jobs available.",https://nsboats.com/public-news/,,Open,Periodical,Industry,NA,Any / All
324,Nova Scotia Boat Builders Association,products,Job seeker website,Job seeker section for both employers and job seekers.,https://nsboats.com/employment-opportunities/,,Open,NA,Business,NA,Any / All
325,Nova Scotia Boat Builders Association,products,Nova Scotia Boat Builders Association,NSBA's mission is to create and foster an environment that promotes profitable and sustained export-oriented business growth for its members.,https://nsboats.com/,,Restricted,,Provincial,,Any / All
326,Nova Scotia Boat Builders Association,primary,Training Resources,"Training is provided to anyone in the boat building and recreational marine sector. It is not limited to NSBA members. Training is provided for employers, management, employees.",https://nsboats.com/training/,,Restricted,,Industry,NA,Any / All
327,Nova Scotia Building Officials Association,products,Nova Scotia Building Officials of Association,NSBOA represents municipal Building Officials throughout Nova Scotia. The association has 100 members from all regions of the province. Membership is organized by Zone.,http://www.nsboa.ca/,,open,,Provincial,,Any / All
329,Nova Scotia Career Development Association,products,Professional Development for Career Development Professionals,"Enable regional career practitioners to share career development resources and ""best practice"" information that comes from local, provincial and national organizations.",http://nscda.ca/index.php,,Open,NA,Business,NA,NA
331,Nova Scotia College of Dispensing Opticians,products,Nova Scotia College of Dispensing Opticians,The Nova Scotia College of Dispensing Opticians is the health regulatory college for all Opticians in Nova Scotia.,http://www.nscdo.ca/,,open,,Provincial,,NA
332,Nova Scotia College of Medical Laboratory Technologists,products,Nova Scotia College of Medical Laboratory Technologists,"To protect public safety through regulation, education, advocacy and leadership in Medical Laboratory Science.",http://www.nscmlt.org/,,open,,Provincial,,NA
333,Nova Scotia College of Optometrists,products,Nova Scotia College of Optometrists,The Nova Scotia College of Optometrists (NSCO) is the self-regulating authority accountable for registering (licensing) and governing optometrists in Nova Scotia.,http://nsco.ca/,,Restricted,,Provincial,,Any / All
334,Nova Scotia College of Pharmacists,products,Nova Scotia College of Pharmacists,Governing the practice of pharmacy in Nova Scotia in the interest of the health and well being of the public.,http://www.nspharmacists.ca/,,open,,Provincial,,NA
335,Nova Scotia College of Physiotherapists,products,Nova Scotia College of Physiotherapists,The Nova Scotia College of Physiotherapists assures that the interests of the public are upheld through the regulation and promotion of competent and ethical physiotherapy services under the Physiotherapy Act.,http://nsphysio.com/,,OPEN,,Provincial,,NA
336,Nova Scotia College of Respiratory Therapists,products,Nova Scotia College of Respiratory Therapists,The Nova Scotia College of Respiratory Therapists (NSCRT) regulates the practice of Respiratory Therapy by setting the standards for the profession and ensuring compliance with provincial acts and related laws.,http://www.nscrt.com/,,OPEN,,Provincial,,NA
337,Nova Scotia Community College,products,1 year Graduate Follow-Up Survey,"Looks at the supply side information of the graduates of the NSCC. They look at: General Employment Outcomes, Sector Specific Employment Outcomes, Voluntary Contributions to the community by graduates, Portfolio Satisfaction. Can be linked to occupational projections/ NOC codes.",https://www.nscc.ca/about_nscc/publications/index.asp,,Open,Annually,Provincial,NA,Any / All
338,Nova Scotia Community College,research,5 Year longitudinal study 2007-2012,"This is a longitudinal study of NSCC and NS University grads employment outcomes for students with disabilities. They report on their thoughts on their educational experience, reflections on success with transition from learning to work. Every year a report has been generated. 2006 and 2007 have been published. NSCC is inputting their research into a web-based instrument for collecting data. They are using in-house software for managing data.",http://www.nscc.ca,,Restricted,Ongoing,Provincial,2007,Any / All
340,BuildForce Canada,primary,Labour Market Information - National,"skills required by sector employees, current worker skills and qualifications, demand for additional skills development, current and future essential skills and new technology. Used to establish National Database.",http://www.buildforce.ca/en/catalog/labour-market-information,,Open,Every 2-5 yrs,National,NA,Any / All
341,Nova Scotia Construction Sector Council,primary,Labour Market Information - NS,"skills required by sector employees, current worker skills and qualifications, demand for additional skills development, current and future essential skills and new technology. Used to establish National Database.",http://www.nscsc.ca/,,Open,Every 2-5 yrs,Provincial,NA,Any / All
343,Nova Scotia Dental Association,products,Nova Scotia Dental Association,The NSDA represents the dentists of Nova Scotia.,http://www.nsdental.org/,,OPEN,,Provincial,,Any / All
344,Nova Scotia Dental Technicians Association,products,Nova Scotia Dental Technicians Association,The Dental Technician Training Program shall include the study and training in general dental technology.,http://www.nsdta.ca/,,Restricted,,Provincial,,Any / All
345,Nova Scotia Department of Finance: Daily Statistics,primary,Daily Stats - Nova Scotia,"Provides daily statistics on  key economic indicators, housing starts,  CPI (Consumer Price Index), economic indicators, economic environment.",http://www.gov.ns.ca/finance/statistics/default.asp,,open,Daily,Provincial,,Any / All
346,Nova Scotia Department of Finance: Publications,primary,Nova Scotia Department of Finances Publications,"List of Publications , reports from Department of Finance.",https://beta.novascotia.ca/government/finance-and-treasury-board/programs-and-services,,OPEN,Ongoing,Provincial,,Any / All
347,Nova Scotia Department of Health and Wellness Recruitment,products,Nova Scotia Department of Health and Wellness - Recruitment,Physician Recruitment,https://physicians.novascotia.ca/index.html,,OPEN,,Provincial,,Any / All
348,Accessibility Directorate,research,Accessibility Directorate,We are responsible for implementing and administering the new Nova Scotia Accessibility Act and addressing broader issues related to disability.,https://novascotia.ca/accessibility/,,OPEN,,Provincial,2009,Any / All
351,Nova Scotia Fisheries Sector Council,research,Nova Scotia Fisheries Sector Council,"The Nova Scotia Fisheries Sector Council is dedicated to planning and implementing human resource development strategies to attract new entrants to aquaculture, fish harvesting and  processing careers, and promoting competitiveness and higher quality standards for seafood products.",http://www.nsfsc.ca/,,OPEN,,National,,Any / All
352,Nova Scotia Ground Water Association,products,Nova Scotia Ground Water Association,To encourage the management and protection of ground water by creating partnerships for public awareness and utilization.,http://www.nsgwa.ca/,,OPEN,,Provincial,,Any / All
353,Nova Scotia Hearing Aid Association,products,Nova Scotia Hearing Aid Association,"The NSHAA requires the highest standards of professional competency, business integrity and excellence in serving the hearing impaired in Nova Scotia.",http://www.nshearing.ca/,,Restricted,,Provincial,,Any / All
354,Nova Scotia Home Builders Association,products,Nova Scotia Home Builders Association,"For more than 50 years, the Nova Scotia Home Builder's Association has played a key role in promoting quality, choice, and affordable housing for all Nova Scotians.",http://nshomebuilders.ca/,,OPEN,,Provincial,,Any / All
355,Nova Scotia Institute of Agrologists,products,Nova Scotia Institute of Agrologists,"Agrologists speak on behalf of agriculture on issues of concern. NSIA, in conjunction with AIC, prepares position papers to articulate the view of professionals in the industry on issues through NSIA council committees on Agricultural Issues and Education and Research.",http://nsagrologists.ca/,,OPEN,,Provincial,,Any / All
356,Nova Scotia Language Teachers Association,products,Nova Scotia Language Teachers Association,"The Nova Scotia Language Teachers Association, a special association of the NSTU, is dedicated to the professional development and support of second language teachers in Nova Scotia.",http://nstu.ca,,OPEN,,Provincial,,Any / All
358,Nova Scotia Physiotherapy Association,products,Nova Scotia Physiotherapy Association,"The Nova Scotia Physiotherapy Association (NSPA) provides leadership and direction to Canadian Physiotherapy Association (CPA) members in the province of Nova Scotia and supports the mission of the CPA to foster excellence in practice, education and research and promote high standards of health in Canada.",http://www.physiotherapyns.ca/,,Restricted,,Provincial,,Immigrant
359,Nova Scotia Real Estate Appraisers Association,products,Nova Scotia Real Estate Appraisers Association,"The Nova Scotia Real Estate Appraisers Association (NSREAA) became a self-regulating association under Provincial Statute (Bill 86), The Real Estate Appraisers Act.",http://www.nsreaa.ca/,,open,,Provincial,,NA
360,Nova Scotia Real Estate Commission,products,Nova Scotia Real Estate Commission,"The Nova Scotia Real Estate Commission is the regulator of the real estate industry, whose goal is to ensure consumer confidence through the administration of the Real Estate Trading Act and the Commission Bylaws.",http://www.nsrec.ns.ca/,,open,,Provincial,,NA
361,Nova Scotia Registered Music Teachers Association,products,Nova Scotia Registered Music Teachers Association,"The Nova Scotia Registered Music Teachers' Association is a professional organization, affiliated with the Canadian Federation of Music Teachers' Association (CFMTA).",https://www.nsrmta.ca/,,OPEN,,Provincial,,NA
362,Nova Scotia Road Builders Association,products,Nova Scotia Road Builders Association,"Founded in 1947, the association and its members play an integral part of building the province, it roads, and its crucial infrastructure components, and have so for more than 60 years.",http://www.nsrba.ca/,,OPEN,,Provincial,,NA
364,Nova Scotia Tourism Human Resources Council,products,Monthly Newsletter Educational Facilities,Encourages training to align with industry trends and needs and share expectations with industry. Includes available opportunities intended to help develop strong relationships.,http://www.tourismhrc.com/,,Open,Monthly,Industry,NA,Any / All
365,Nova Scotia Tourism Human Resources Council,products,TIANS Monthly Member News,Monthly newsletter providing information  on the tourism sector for members.,http://www.tians.org/news-and-media/member-news,,Restricted,Ongoing,Industry,NA,Any / All
366,Nova Scotia Tourism Human Resources Council,products,Tourism Employment Website,Provincially focussed tourism recruitment site.,http://www.tourismtalent.com/,,Open,Ongoing,Industry,NA,Any / All
367,Nova Scotia Tourism Human Resources Council,research,Qualifications Framework,"With a wide range of qualifications in the tourism sector, it can be challenging to know what they mean and offer. Qualifications Frameworks are a tool that help understand qualifications and the links between them. The Culinary Qualifications Framework and the Hospitality Qualifications Framework shown below depict types of qualifications offered by public academic institutions, industry, and apprenticeship in the culinary and hospitality fields.",https://tourismhrc.com/research/,,Open,NA,Industry,2010,NA
368,Nova Scotia Veterinary Medical Association,products,Nova Scotia Veterinary Medical Association,The Nova Scotia Veterinary Medical Association (NSVMA) is incorporated under the Veterinary Medical Act of the Province of Nova Scotia.,http://www.nsvma.ca/,,Restricted,,Provincial,,Any / All
371,Department of Labour and Advanced Education,products,Explore Careers Nova Scotia Website,Nova Scotia's labour market information resource.,http://explorecareers.novascotia.ca,,Open,Ongoing,Provincial,NA,Any / All
373,Department of Labour and Advanced Education,products,High Opportunity Career Options in Nova Scotia,LMI product that profiles good employment prospect occupations in NS. Brings to the surface good opportunities for work.,https://explorecareers.novascotia.ca/publications,,Open,Every 2-5 yrs,Occupation,NA,Any / All
374,Department of Labour and Advanced Education,research,Minimum Wage Review Committee,Publicly released report that is an annual review of minimum wage recommendations to the Minister by the Minimum Wage Committee.,http://novascotia.ca/lae/employmentrights/minimumwagefaq.asp,,Open,Annually,Provincial,2012,Any / All
376,Nova Scotia Tourism Human Resources Council,products,Temporary Foreign Worker guide & qualifications framework,The Nova Scotia Tourism Human Resource Council has developed a resource manual for employers looking to recruit temporary foreign workers to fill employment vacancies. The Temporary Foreign Worker Guide outlines all the steps necessary to successfully rec,https://tourismhrc.com/wp-content/uploads/2018/02/Full-ForeignWorkerGuide2013.pdf,"Immigrants, Employers, Industry Associations",Open,Annually,"Industry, National, Provincial",NA,
377,Nova Scotia Tourism Human Resources Council,products,Tourism Labour Market plan: Towards a New Direction - Putting People First,"Issues, Challenges and Solutions in the Tourism Labour Market",https://tourismhrc.com/wp-content/uploads/2017/12/Putting-People-First.pdf,"Industry Associations, Government, Businesses, Policymakers, Employees, Employers",Open,Every 5-10 years,"Industry, Occupation, Provincial",,
379,OECD,research,Skilled for Life? Key Findings from the Survey of Adult Skills,"The inaugural edition of the OECD Skills Outlook is devoted to reporting the results of the first round of the Survey of Adult Skills,
a product of the Programme for the International Assessment of
Adult Competencies (PIAAC). The survey provides a rich",http://www.oecd.org/site/piaac/SkillsOutlook_2013_ebook.pdf,"Academic, Counsellors, Educators, Government, Public, Policymakers, Researchers, Students",Open,Every 5-10 years,Varies,2013,
380,The Maritimes Energy Association,products,The Maritimes Energy Association,"The Maritimes Energy Association is an independent, not-for-profit organization representing businesses that provide goods and services to the energy industry in eastern Canada – offshore & onshore, renewable, non-renewable & cleantech, domestic & export markets.",http://maritimesenergy.com/index.asp,,Restricted,,National,,Any / All
381,PetroLMI,products,PetroLMI,The Petroleum Labour Market Information (PetroLMI) Division of Energy Safety Canada is your source for labour market information and trends in Canada's energy industry.,https://www.careersinoilandgas.com/,,OPEN,,Regional,,Any / All
382,Pharmacy Association of Nova Scotia,products,Pharmacy Association of Nova Scotia,PANS supports the professional and economic interests of its members to advance the practice of pharmacy and improve the health of Nova Scotians. ,http://pans.ns.ca/,,Restricted,,Provincial,,Any / All
383,Police Sector Council,research,Police Sector Council,The Police Sector Council (PSC) is a national initiative to identify common human resource challenges and to find innovative solutions to urgent human resource issues in the policing community.,http://www.policecouncil.ca/,,open,,Regional,,Any / All
384,Nova Scotia Department of Education & Early Childhood Development,research,NS Public Education Teacher Supply & Demand,"This study updates the previous similar research study: Nova Scotia Public Education Teacher Supply and Demand, completed in 2007.",http://www.ednet.ns.ca,"Educators, Government, HR Professional, Policymakers, Professional groups, Public, Unions",Restricted,Every 2-5 years,"Occupation, Provincial",2012,
386,Nova Scotia Department of Business,research,Nova Scotia’s Oceans Technology Sector Moving Forward,Describes actions in the Oceans Technology Sector,https://beta.novascotia.ca/government/business,"Aquaculture, Business, Entrepreneurs, Managers, Manufacturing, Regional Development, Sector Councils, Stakeholders",Restricted,NA,"Provincial, Sectoral",2013,
387,Nova Scotia Department of Business,research,Defined by the sea: Nova Scotia’s Oceans Technology Sector present and future,"Provides new insight into the oceans technology industry in Nova Scotia, and its tremendous potential for growth.",https://beta.novascotia.ca/government/business,"Aquaculture, Business, Entrepreneurs, Managers, Manufacturing, Regional Development, Sector Councils, Stakeholders",Restricted,NA,"Business, Provincial, Sectoral",2011,
388,Nova Scotia Department of Business,research,"Charting the Digital Infosphere: Nova Scotia’s Information and Communications Technology Sector, Present and Future","The following is not the complete collection of Nova Scotia’s ICT players and assets, but an illustrative “map” to provide a glimpse into the vast potential for growth and
benefits the sector holds in this province and beyond.",https://beta.novascotia.ca/government/business,"Academic, Business, Entrepreneurs, Government, Managers, Professional Groups, Sector Councils, Stakeholders",Restricted,NA,"Provincial, Sectoral",2013,
389,Provincial Dental Board of Nova Scotia,products,Provincial Dental Board of Nova Scotia,The Provincial Dental Board of Nova Scotia is a legislated body mandated to protect the general public interests in matters related to the delivery of dental care.,http://www.pdbns.ca/,,OPEN,,Provincial,,Any / All
390,Public Accountants Board of Nova Scotia,products,Public Accountants Board of Nova Scotia,"The Public Accountants Board was created by chapter 369 of the statutes of The Province Of Nova Scotia ""an act related to Public Accountants"". It applies to those who perform audits and reviews of financial statements.",http://www.pabns.com/,,OPEN,,Provincial,,NA
391,RBC (Royal Bank of Canada) Economics Research,research,RBC (Royal Bank of Canada) Economics Research,"RBC Economics Research provides timely and relevant analysis and forecasts of the economy and financial markets in Canada, the United States and key international markets to RBC and its clients.",http://www.rbc.com/economics/index.html,,OPEN,,National,,NA
392,Registered Professional Foresters of Nova Association of Nova Scotia,products,Registered Professional Foresters Association of Nova Scotia,dedicated to professional conduct and continued forestry education to improve the holistic management of the forest resources in the Province of Nova Scotia.,http://www.rpfans.ca/,,OPEN,,Regional,,NA
393,Service Canada,primary,Service Canada,"Service Canada was created in 2005 to improve the delivery of government programs and services to Canadians, by making access to them faster, easier, and more convenient. Service Canada offers single-window access to a wide range of Government of Canada programs and services for citizens through more than 600 points of service located across the country, call centres, and the Internet. Visit the various sections of this Web site to find out more about our service commitment and how we can help you.",http://www.servicecanada.gc.ca/eng/about/index.shtml,,,,National,,NA
394,Skills Canada - Nova Scotia,products,Skills Canada - Nova Scotia,Skills Canada~Nova Scotia is a not-for-profit organization that promotes careers in skilled trades and technologies to Nova Scotia youth.,https://www.skillsns.ca/,,OPEN,,Provincial,,NA
395,Statistics Canada,primary,"Annual Demographic Estimates: Canada, Provinces and Territories","This publication presents annual estimates of the total population and annual estimates by age and sex for Canada, provinces and territories. It also presents estimates of the following components of population change: births, deaths, immigration, emigration, returning emigration, net temporary emigration, net non-permanent residents and inter-provincial migration.",https://www150.statcan.gc.ca/n1/pub/91-215-x/2013002/part-partie1-eng.htm,,Open,Annually,"National, Provincial",NA,Any / All
396,Statistics Canada,primary,Business Payrolls Survey,"This survey measures the month-to-month trends of payroll employment, paid hours and earnings.",http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=2614,,Open,Monthly,Provincial,NA,NA
397,Statistics Canada,primary,CANSIM (Canadian Socio-economic Information Management System),"Statistics Canada's key socioeconomic database. Updated daily, CANSIM provides fast and easy access to a large range of the latest statistics available in Canada.",https://www.statcan.gc.ca/eng/dai/btd/rct,,Open,Daily,National,NA,Any / All
398,Statistics Canada,primary,Census of Population,Every 5 years Statistics Canada asks 30% of Canadian households to complete a broad survey which includes a variety of labour market related questions.,http://www12.statcan.gc.ca/census-recensement/index-eng.cfm,,open,Every 2-5 yrs,Household,NA,NA
399,Statistics Canada,primary,Construction Union Wage Rate Index,"The Construction Union Wage Rate Index series measure monthly changes over time in the collective agreement hourly rates, where they exist, for 16 trades engaged in building construction in 22 metropolitan areas. These series can be employed in several ways, including keeping users abreast of pay scale changes within the unionized construction work force, identifying differences between trades and between regions, incorporating them into the escalation clauses of construction contracts and time series analysis.",http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=2307,,Open,Monthly,Sectoral,NA,NA
400,Statistics Canada,primary,Employment Insurance Coverage Survey (EICS),The main purpose of this survey is to study the coverage of the employment insurance program. It provides a meaningful picture of who does or does not have access to EI benefits among the jobless and those in a situation of underemployment. The Employment Insurance Coverage Survey also covers access to maternity and parental benefits.,http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=4428,,Open,Annually,Provincial,NA,NA
401,Statistics Canada,primary,Employment Insurance Statistics (E.I.),"This survey is conducted to release the official statistics which report on the operation of the Employment Insurance Program and to provide complementary labour market statistics, for example, for areas not covered by other Statistics Canada surveys (e.g. small geographic areas for the Yukon, Northwest Territories and Nunavut).",http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=2604&lang=en&db=imdb&adm=8&dis=2,,Open,Monthly,Household,NA,NA
402,Statistics Canada,primary,Estimates of Labour Income,"The estimates are derived in order to supply the System of National Accounts (SNA) with the Labour Income component of the Gross Domestic Product (GDP).Labour income comprises wages and salaries and supplementary labour income. It is defined as all compensation paid to employees. Earnings received by self-employed persons or working owners of unincorporated businesses are not included in labour income. Wages and salaries is an aggregate of many types of payments made to employees. In addition to regular remuneration, it includes directors' fees, bonuses, commissions, gratuities, income in kind, taxable allowances, retroactive wage payments and stock options. Wages and salaries are estimated on a ""gross"" basis, that is, prior to deductions for employees' contributions to income tax, employment insurance, pension funds etc. Supplementary labour income, which is defined as payments made by employers for the future benefit of their employees, comprises employer contributions to employee welfare, pensions, workers compensation and employment insurance.",http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=2602,,Open,Monthly,Provincial,NA,NA
403,Statistics Canada,primary,Federal Jurisdiction Workplace Survey,The objective of the survey is to collect statistical information on working conditions in companies under federal labour code jurisdiction. Survey data will be used by Human Resources and Skills Development Canada (HRSDC) to analyse the impact on companies of potential changes in the Canadian Labour Code.,http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=5076,,Open,Irregular,Business,NA,NA
404,Statistics Canada,primary,Head Office Survey,The objective of this survey is to collect financial data for Canadian head offices in order to produce statistics about this industry. These data are primarily used by Statistics Canada in conjunction with other financial data in order to provide a complete portrait of the Canadian economy and its evolution over time. These data can also be used at an aggregate level by other users who are interested in the head office industry.,http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=5089,,Open,Annually,National,NA,NA
405,Employment and Social Development Canada,primary,Employment and Social Development Canada,The data contain information on major wage settlements obtained from collective agreements settled in Canada and covering 500 or more employees. Information on person-days not worked in Canada as a result of work stoppages is also available.,https://www.canada.ca/en/employment-social-development/corporate/reports.html,,Open,Quarterly,National,NA,All groups
406,Statistics Canada,primary,Labour Force Survey (LFS),"The Labour Force Survey (LFS) is a monthly survey involving around 50,000 Canadian households. The goal of the survey is to provide a detailed, current picture of the labour market across the country. The LFS is the only Statistics Canada source of current, monthly estimates of total employment (including self-employment) and unemployment. Many people know it as the source of the unemployment rate but LFS data are also used to produce other standard labour market indicators such as the employment rate and the participation rate. Along with these popular measures, the LFS also provides employment estimates by industry, occupation, hours worked and much more, all cross-classifiable by a variety of personal characteristics. For employees, wage, union status, job permanency and workplace size are also produced.",https://www.statcan.gc.ca/eng/survey/household/3701,,Open,Monthly,Industry,NA,NA
407,Statistics Canada,primary,Living in Canada,"The purpose of this survey is to collect information about how jobs, education, health, and families affect people's lives.",https://www.statcan.gc.ca,,Restricted,Occasional,Provincial,NA,NA
417,Statistics Canada,primary,Survey of Labour Income & Dynamics (SLID),The Survey of Labour and Income Dynamics (SLID) complements traditional survey data on labour market activity and income with an additional dimension: the changes experienced by individuals over time.,https://www150.statcan.gc.ca/n1/pub/75f0026x/75f0026x2013000-eng.htm,,Open,Annually,National,NA,Any / All
408,Statistics Canada,primary,Longitudinal Employment Analysis Program (LEAP),"The Longitudinal Employment Analysis Program (LEAP) file contains employment information for each employer business in Canada, for each year starting with the 1991 reference period. The LEAP has the advantage of covering the entire economy. The approximately 1 million companies in the commercial economy that paid more than $1 in payroll to employees are included in this analysis. LEAP is a longitudinal file of companies (legal entities in the taxation system), not establishments. For each business, annual estimates of total payroll and employment are calculated. The latter is an average count of employees within the firm, and does not distinguish between full-time and part-time workers. This payroll and employment information is then organized longitudinally, that is, each observation on the database corresponds to a particular firm whose employment, payroll and industry characteristics are recorded at different points in time. The longitudinal nature of LEAP allows entry and exit times to be measured with precision. Entrants (or 'births') in any given year are firms that have current payroll data, but that did not have payroll data in the previous year. Similarly, exits (or 'deaths') in any given year are identified by the absence of current payroll data, where such data had existed in the previous year.",http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=8013,,Open,Annually,Business,NA,NA
409,Statistics Canada,primary,National Apprenticeship Survey (NAS),"The National Apprenticeship Survey (NAS) is Canada's most comprehensive pan-Canadian source of data on apprenticeship, collected from apprentices. It provides a standardized source of data across all provinces and territories.",https://www.statcan.gc.ca/eng/survey/household/3160,,Open,Occasional,Occupation,NA,NA
